numero;lat;lon;ele;tipo
1;40.50523804;-4.32205704;877.466614;enebro
2;40.50532102;-4.322070032;870.514038;enebro
3;40.50528003;-4.321986968;868.173767;enebro
4;40.50548798;-4.321668958;869.625549;enebro
5;40.50548497;-4.321745988;869.182495;enebro
6;40.50521901;-4.322209004;873.2724;pinaster decaimiento
7;40.50562402;-4.321902981;868.812866;pinaster decaimiento
8;40.50561296;-4.321895018;868.61261;pinaster decaimiento
9;40.50505799;-4.321858976;860.273315;pinaster decaimiento
10;40.50473001;-4.322470017;854.506592;pinaster decaimiento
11;40.50524902;-4.322144967;873.090027;pinaster control
12;40.50525396;-4.322182015;873.325745;pinaster control
13;40.50558697;-4.321821006;868.182251;pinaster control
14;40.50542998;-4.321745988;863.168396;pinaster control
15;40.50476404;-4.322288968;856.067688;pinaster control
16;40.505303;-4.322213028;873.334656;encina
17;40.50558203;-4.321686979;867.128052;encina
18;40.50518699;-4.322218979;860.324341;encina
19;40.50517903;-4.322316041;860.914551;encina
20;40.50521297;-4.322300032;861.85022;encina
21;40.50528397;-4.322085036;875.386108;pinea
22;40.50569703;-4.321912033;868.966492;pinea
23;40.50505296;-4.321928965;858.040405;pinea
24;40.50486999;-4.322008006;857.871704;pinea
25;40.50515799;-4.322319981;860.817505;pinea
26;40.50513402;-4.322348982;869.109985;pinaster decaimiento
27;40.504758;-4.322561966;854.436279;pinaster decaimiento
28;40.50479103;-4.322547968;857.06842;pinaster decaimiento
29;40.50480201;-4.322578982;857.733765;pinaster decaimiento
30;40.50481198;-4.322683001;854.973572;pinaster decaimiento
31;40.50482598;-4.322700016;857.443665;pinaster decaimiento
32;40.50477301;-4.32264897;856.73053;pinaster decaimiento
33;40.50474199;-4.322645031;853.689087;pinaster decaimiento
34;40.50458601;-4.32303898;854.982239;pinaster decaimiento
35;40.50453999;-4.323045015;852.949158;pinaster decaimiento
36;40.50451602;-4.322936973;850.503235;pinaster decaimiento
37;40.50447796;-4.322901014;849.642761;pinaster decaimiento
38;40.50666003;-4.323549019;847.532898;pinaster decaimiento
39;40.50676899;-4.323500991;847.7901;pinaster decaimiento
40;40.50669297;-4.323628983;848.288513;pinaster decaimiento
41;40.50660202;-4.323234027;847.422852;pinaster decaimiento
42;40.50663304;-4.323170995;849.825256;pinaster decaimiento
43;40.50662097;-4.323094971;851.730042;pinaster decaimiento
44;40.50637504;-4.323577015;847.493774;pinaster decaimiento
45;40.50630396;-4.323537033;844.578979;pinaster decaimiento
46;40.50542604;-4.322065003;853.309509;pinea decaimiento
47;40.50596299;-4.32175;864.141418;pinea decaimiento
48;40.50595301;-4.32183098;862.411621;pinea decaimiento
49;40.50585997;-4.321942963;862.88562;pinea decaimiento
50;40.50581102;-4.32140803;863.087341;pinea decaimiento
51;40.50507199;-4.321826035;855.962158;pinea decaimiento
52;40.50475004;-4.321957966;855.26178;pinea decaimiento
53;40.50641301;-4.323511971;861.605835;pinaster decaimiento
54;40.50661401;-4.323212989;857.11145;pinaster decaimiento
55;40.50655198;-4.32308902;856.506836;pinea decaimiento
56;40.5059;-4.3215;863.087341;pinea decaimiento
